"44"	"57.79"	"86"	"0"	"9/25/2013 23:49:18"	"44"	"40.6757405,-74.00126 40.6765204,-74.0018 40.67817,-74.003221 40.67864,-74.003471 40.67925,-74.0036 40.6796,-74.00358 40.68003,-74.003441 40.6806205,-74.003161 40.68153,-74.00273 40.6853005,-74.891 40.68726,-73.999951 40.6892405,-73.99899 40.68972,-73.998821 40.69033,-73.99879 40.6909206,-73.999011 40.6915905,-73.999281"	"kngwFzjtbM{CjBiIzG}Ap@yBXeACuA[uBw@uDuAqVoJgK{DkK_E_Ba@yBEuBj@eCt@"	"BBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616229"	"Brooklyn"	"BQE S / GOW S Atlantic Avenue - 9th Street"
"47"	"54.06"	"102"	"0"	"9/25/2013 23:49:18"	"47"	"40.8563506,-73.87233 40.85219,-73.871371 40.85007,-73.87111 40.8469404,-73.87115 40.8459605,-73.871311 40.8424005,-73.87202 40.83961,-73.87273 40.8362404,-73.87372 40.8349506,-73.8739 40.8333606,-73.873831 40.8319705,-73.873681 40.82985,-73.87313 40.82683,-73.87264"	"ewjxF`e{aM~X_EfLs@pRFbE^fUlClPlC`TdE`Gb@|HMtG]fLmBzQaB"	"BBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616252"	"Bronx"	"BRP N Watson Av - Fordham Road"
"48"	"60.27"	"92"	"0"	"9/25/2013 23:49:18"	"48"	"40.8562805,-73.87254 40.8521804,-73.871581 40.8501706,-73.871451 40.8483304,-73.871491 40.8458506,-73.87152 40.84239,-73.872261 40.83964,-73.87291 40.8363,-73.8739 40.8349506,-73.87408 40.83339,-73.87407 40.8319705,-73.873921 40.8298404,-73.873331 40.82681,-73.87287"	"wvjxFjf{aMrX_EpKYnJFnNDrTrCdP`CzSdElGb@vHAzG]hLuB|Q{A"	"BBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616266"	"Bronx"	"BRP S Fordham Road - Watson Av"
"52"	"0"	"0"	"-101"	"3/27/2009 13:40:38"	"52"	"40.82495,-73.836211 40.82367,-73.83602 40.8202605,-73.835941 40.81888,-73.835951 40.81555,-73.83628 40.81275,-73.83627 40.8124306,-73.836211 40.81201,-73.836031 40.81139,-73.83571 40.79715,-73.82657"	"}rdxFhctaM~Fe@hTOrG@xS`AnPA~@KrAc@zB_A~wAcx@"	"BBBBBBBBBB"	"MTA Bridges & Tunnels"	"4456474"	"Bronx"	"BWB N / HRP N: Queens anchorage - Lafayette Ave"
"55"	"49.71"	"86"	"0"	"9/25/2013 23:49:18"	"55"	"40.82495,-73.836211 40.82367,-73.83602 40.8202605,-73.835941 40.81888,-73.835951 40.81555,-73.83628 40.81275,-73.83627 40.8124306,-73.836211 40.81201,-73.836031 40.81139,-73.83571 40.79715,-73.82657"	"gxhxFp{fbMpAiE`@kGhEm[L{FQqIUeKm@}^?gTB{FLgG"	"BBBBBBBBBBB"	"NYC_DOT_LIC"	"4616310"	"Bronx"	"CBE E Amstardam Ave (L\LVI) - Morris Av"
"58"	"55.92"	"76"	"0"	"9/25/2013 22:42:20"	"58"	"40.8464305,-73.93213 40.8458904,-73.930331 40.84516,-73.92739 40.84478,-73.925401 40.8447106,-73.92412 40.84478,-73.92246 40.844891,-73.92045 40.8451105,-73.91534 40.8451305,-73.91194 40.8451105,-73.910811 40.84503,-73.909371"	"eyhxFxzfbMjBiJpCiQjAoKL_GMiIUqKk@}^CgTBcFN_H"	"BBBBBBBBBBB"	"NYC_DOT_LIC"	"4616309"	"Bronx"	"CBE E Amstardam Ave (U\Lvl) - Morris Av"
"59"	"0"	"0"	"-101"	"4/1/2011 07:50:05"	"59"	"40.83024,-73.85069 40.829401,-73.84807 40.82867,-73.84659 40.82813,-73.84515 40.82795,-73.8438 40.828371,-73.840431 40.8285205,-73.83718 40.82829,-73.83579 40.8277406,-73.83405 40.8266006,-73.83099 40.82408,-73.82326 40.82303,-73.821031 40.822,-73.81895 40.82144,-73.817551 40.820401,-73.81474 40.81991,-73.81326 40.81889,-73.809721 40.81832,-73.80777 40.8178205,-73.80489 40.8173,-73.80149 40.817,-73.80016 40.816551,-73.798931 40.8158505,-73.797661 40.81501,-73.796511 40.8141,-73.79559 40.81329,-73.794931 40.8123805,-73.79443 40.8109004,-73.79389 40.8099205,-73.79379 40.8081505,-73.79375 40.7984606,-73.7937 40.7932404,-73.793641 40.79234,-73.793501 40.7915405,-73.79322 40.7908905,-73.79294 40.78985,-73.79227 40.78873,-73.791321 40.78782,-73.79021 40.7870205,-73.789121"	"_texFx}vaMfDkOpCgHjB_Hb@mGsAaT]iSl@uGlB{IbFcRvNio@pE}LlE_LnBwGnEqP`BgHjEcUpBeKbB_QfBgTz@iGxAuFjC}FfDeFtDwD`DcCtDcBfHkBbES`JGp{@Ir_@KrD[~Cw@`Cw@nEeC~E}DtD}E~CyE"	"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"	"MTA Bridges & Tunnels"	"4456486"	"Bronx"	"CBE E Castle Hill Ave - TNB S Queens Anchorage"
"60"	"57.79"	"142"	"0"	"9/25/2013 23:49:18"	"60"	"40.8302204,-73.850641 40.8295305,-73.848401 40.8291004,-73.847491 40.82836,-73.8459 40.8281405,-73.84524 40.8280305,-73.844641 40.827991,-73.843911 40.82804,-73.842981 40.8281906,-73.841761 40.8286304,-73.83844 40.82887,-73.83673 40.8291904,-73.83548 40.82938,-73.834881 40.82977,-73.833851 40.83024,-73.832901 40.83068,-73.83216 40.83193,-73.83015 40.832871,-73.828641 40.833341,-73.82773 40.834281,-73.82581 40.8349506,-73.825121 40.8356405,-73.82473 40.83655,-73.82464 40.83731,-73.82481 40.83881,-73.825301
"	"{sexFn}vaMhC_MtAuDrC}Hj@cCTwBFqCIyD]sFwAwSo@uI_AyFe@wBmAmE}A}DwAsCyFqK{DmH}AuD{D_KeCiCiCmAuDQwC`@kH`B"	"BBBBBBBBBBBBBBBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616297"	"Bronx"	"CBE E Castle Hill Ave - BE N Waterbury Av"
"64"	"52.2"	"169"	"0"	"3/6/2013 12:33:04"	"64"	"40.84499,-73.9094 40.84476,-73.90491 40.843391,-73.892861 40.84313,-73.89154 40.8427104,-73.89037 40.8416405,-73.88836 40.83764,-73.881161 40.83681,-73.87878 40.8364706,-73.87653 40.83619,-73.871951 40.8358205,-73.869651 40.8348304,-73.866071"	"ephxFvlbbMl@a[pGijAr@gGrAiFtEqK~W_l@dD{MbAaMv@s[hAkMdEkU"	"BBBBBBBBBBBB"	"NYC_DOT_LIC"	"4616254"	"Bronx"	"CBE E Morris Ave - Taylor Ave"
"65"	"59.03"	"43"	"0"	"9/25/2013 23:49:18"	"65"	"40.8347204,-73.86593 40.83357,-73.86199 40.8327305,-73.8592 40.8312,-73.85409 40.83017,-73.85069 40.83015,-73.85071 40.8301304,-73.850731 40.8301105,-73.850731"	"_pfxF`}yaMdFsWfDmPpH}^lEgTBBBBB"	"BBBBB"	"NYC_DOT_LIC"	"4616253"	"Bronx"	"CBE E TAYLOR AVENUE - CASTLE HILL AVENUE"
